Abasement,humiliation; degradation
Abate,reduce in intensity
Aberration,deviation from the normal
Abeyance,state of inactivity; disuse
Abhor,hate
Abjure,renounce; swear to refrain from something
Abrasion,1. damage to skin caused by scraping; 2. process of scraping or rubbing [abrade (v)]
Abrasive,rough; coarse; harsh
Abrogate,cancel; deny; repeal
Abscission,cutting; process causing leaves to fall off
Absolution,forgiveness; pardon; release
Abstain,desist; go without; withdraw
Abstemious,self denying; refraining from indulging
Abstruse,difficult to understand; obscure
Abut,to adjoin
Abysmal,very deep; very bad
Accolade,tribute; honor; praise
Accretion,accumulation of matter; growth produced by adding from the outside
Acolyte,disciple; follower or attendant
Acquiesce,to agree to; give in to
Acrid,sharp; pungent (used of smells and tastes)
Acrophobia,fear of heights
Acuity,sharpness (mental or visual)
Adamant,forceful; inflexible
Admonitory,scolding [admonition (n)]
Adroit,skilful / skillful
Adulation,strong admiration; worship
Adumbrate,outline; indicate
Adversity,hardship
Advocate,support
Aesthetic,concerning art or beauty
Affable,friendly; social; easygoing
Alacrity,eagerness; enthusiasm; quickness
Alchemy,medieval chemistry; attempt to change base metal into gold
Alibi,an excuse that shows someone was not at a crime scene
Allay,to lessen
Alleviate,make less severe
Alleviated,made less severe [alleviation (n); alleviate (v)]
Allure,1. attraction (n); 2. to attract (v)
Aloof,distant; detached; cold
Altruism,putting others first; being self-sacrificing
Amalgamate,join; consolidate [amalgamation (n)]
Amass,accumulate
Ambidextrous,able to use both left and right hands equally well
Ambiguity,uncertainty; vagueness
Ambiguous,unclear in meaning; can be interpreted in different ways
Ambivalence,lack of clarity; wavering; being undecided
Ambulatory,able to walk around (used of hospital patients)
Ameliorate,make better
Amelioration,improvement
Amiable,friendly
Amity,friendship
Amorphous,lacking in shape
Anachronistic,occurring in the wrong time period [anachronism (n)]
Analgesic,medicine to combat pain
Analogous,comparable
Analogue,1. something similar; 2. output proportional to input (engineering)
Anarchy,chaos; lack of government
Anecdote,a brief amusing story
Animosity,hatred; antagonism
Annex (n),a building which is an addition to an existing building
Annex (v),take possession of; seize; capture
Anodized,electroplated; coated with thin layer of metal
Anomaly,something which does not fit in a pattern; irregularity
Antagonism,hostility; strong opposition
Antagonistic,opposed; hostile; aggressive
Antediluvian,outdated; prehistoric; very old-fashioned
Anthology,a book which is a collection of poems or stories
Anthropocentrism,putting man at the center of one's philosophy
Antipathy,hatred
Antiquated,outdated; old fashioned
Apathetic,indifferent; uninterested; lethargic
Apathy,lack of interest or emotion
Aphoristic,expressed tersely [aphorism (n) = short statement; maxim]
Apocryphal,of doubtful origin
Apostrophe,1. punctuation mark; 2. appeal to someone not present (a figure of speech)
Appease,pacify; soothe; calm down; make peace with
Apprehension,slight fear; sense of something unfavorable
Apprehensive,worried; fearful
Approbation,approval [opp. disapprobation]
Arable,can be cultivated
Arbitrary,random; for no definite reason
Arbitrator,mediator; person appointed to judge a dispute [arbitrate (v)]
Arboreal,living in trees; concerned with trees
Arcane,obscure; known only to a few people
Archaic,ancient; outdated; old fashioned
Archetype,classic example of
Archives,collections of old records; place of storage of old documents
Arduous,hard
Armada,fleet of ships
Arson,"deliberate, criminal starting of fires"
Articulate,clear; lucid; eloquent
Artifice,deception; trickery
Artisan,craftsman
Artless,without effort; without trickery; simple
Ascetic,without luxuries; severely simple
Asperity,using harsh or critical tone
Assay,1. try; 2. assess purity
Assiduous,thorough; diligent
Assuage,to calm
Astute,perceptive; sharp-witted
Asylum,place of refuge or safety
Atavism,reappearance of ancestral traits; regression [atavistic (a)]
Atheist,person who does not believe in God
Atonement,making amends for sin or crime [atone (v)]
Atrophy,waste away from lack of use
Attenuate,weaken
Augment,increase; make bigger
Augury,"prediction, looking for omens [augur (v)]"
Auspicious,favorable; promising to turn out well
Austere,severely plain
Avaricious,greedy for money
Aver,affirm
Aversion,a dislike of
Baleful,evil
Balk,hinder and prevent; hesitate over
Banal,common; dull
Banality,ordinariness; dullness
Bane,troublesome influence
Bard,poet
Bastion,fortress; stronghold
Befuddle,confuse
Begrudge,resent
Beguile,mislead; lure
Belabor,explain in unnecessary detail
Beleaguer,besiege; attack
Belie,contradict
Belittle,to demean
Bellicose,war-like; aggressive
Belligerent,aggressive; ready to fight
Bemoan,complain about
Benevolent,kindly
Benign,kindly; harmless
Benignity,compassion; gentleness; fondness
Bent (n),inclination; aptitude
Bequeath,leave something in one's will to be given after one's death
Berate,scold; criticize
Beret,type of cap
Bestial,behaving like a beast; brutal
Bigot,"narrow-minded, prejudiced person"
Bilk,cheat; defraud
Billowing,swelling; fluttering; waving
Blandishment,words used to coax or flatter [blandish (v)]
Blasphemy,speech which offends religious sentiments
Blatant,obvious
Blighted,damaged; destroyed; ruined
Blithe,free-spirited; carefree
Blowhard,boastful person
Blunderbuss,1. ancient weapon (type of gun); 2. a clumsy person
Bolster,support; prop up
Bombast,"arrogant, pompous language"
Boor,ill-mannered person [boorish (a)]
Boorish,ill-mannered
Bourgeois,middle class
Boycott,refuse to have dealings with
Braggart,someone who boasts
Brawny,muscular
Brevity,being brief
Bristle,to show irritation
Broach,start to discuss; approach
Brusque,blunt; abrupt
Bulwark,fortification; barricade; wall
Bureaucracy,officialdom
Burgeon,grow; flourish; put forth new shoots
Burnish,polish
Buttress,strengthen; support
Byline,the line that tells you who wrote an article
Cacophony,discordant loud noises
Cadge,get by begging
Cajole,coax
Caldron,huge cooking pot
Callow,immature
Candid,frank; honest
Candor,frankness; openness
Canonical,orthodox [canon (n) = set of accepted works]
Cant,insincere talk
Cantankerous,bad-tempered; quarrelsome
Capacious,spacious
Capitulate,surrender; give in to
Caprices,whimsies; fancies
Cardinal,"1. high ranking church official; 2. major, important"
Caret,punctuation mark signifying omission
Carping,constant criticism
Carrion,dead flesh; carcasses
Cartographer,person who makes maps
Castigate,scold strongly
Catharsis,purging of pent-up emotions
Caucus,type of private political meeting
Caulk,treat with substance such as tar to make water-tight
Caustic,burning
Cavalcade,procession of vehicles
Celerity,speed
Censorious,disapproving; critical
Censure,blame
Centrifuge,device to separate substances by spinning them at high speed
Centurion,roman soldier (commander of a company of 100 soldiers)
Cerebral,intellectual
Certitude,certainty
Charlatan,trickster who claims knowledge he doesn't have
Chary,wary of; cautious about; reluctant to give
Chastises,punishes
Chauvinist,someone excessively patriotic [chauvinism (n)]
Chicanery,trickery
Chimerical,changeable; unstable
Choleric,easily angered
Chronic,long lasting (often used for diseases in which case the opposite is acute)
Chronicler,person who records historical information
Churlishness,rudeness; ill-mannered behavior
Circuitous,indirect
Circumlocution,using too many words; long-windedness
Circumscribe,limit
Circumspect,cautious; considering all sides
Circumvent,avoid
Clairvoyant,psychic; mystic
Clamor,shout; scream
Clandestine,secret; covert; stealthy
Clemency,mercy
Cloistered,isolated
