Abate,reduce in intensity
Abjure,renounce; swear to refrain from something
Accretion,accumulation of matter; growth produced by adding from the outside
Amalgamate,join; consolidate [amalgamation (n)]
Ambidextrous,able to use both left and right hands equally well
Anachronistic,occurring in the wrong time period [anachronism (n)]
Anodized,electroplated; coated with thin layer of metal
Aphoristic,expressed tersely [aphorism (n) = short statement; maxim]
Augury,"prediction, looking for omens [augur (v)]"
Avaricious,greedy for money
Baleful,evil
Blandishment,words used to coax or flatter [blandish (v)]
Boor,ill-mannered person [boorish (a)]
Boycott,refuse to have dealings with
Canonical,orthodox [canon (n) = set of accepted works]
Cardinal,"1. high ranking church official; 2. major, important"
Caret,punctuation mark signifying omission
Chronic,long lasting (often used for diseases in which case the opposite is acute)
Churlishness,rudeness; ill-mannered behavior
Coerce,force [coercion (n); coercing (a)]
Colander,bowl with holes used to drain vegetables etc.
Commensurate,equal in significance
Contiguous,adjacent; touching; abutting [contiguity (n)]
Culpability,guilt [culpable = blameworthy]
Cumbersome,bulky; difficult to carry [encumber = to burden]
Damp,(used of vibration) reduce in extent
Deliberate,1. slow (a); 2. to think over (v); 3. on purpose (a)
Demagogue,mob leader (who appeals to base instincts) [demagogy/demagoguery (n)]
Dexterity,"skill, esp. with hands [dexterous (a)]"
Diaphanous,transparent; thin and delicate
Discernment,judgment; perceptiveness
Dispatch,1. send (v); 2. speed; celerity (n)
Effrontery,daring; audacity (has a negative connotation)
Ellipsis,omission of essential words
Encomium,praise
Epistemology,theory of knowledge
Equivocation,"speaking ambiguously [equivocate (v), equivocal (a)]"
Extant,still in existence (opposite of extinct)
Extirpate,wipe out totally
Extirpation,wiping out; complete destruction [extirpate (v)]
Feckless,feeble; helpless; lacking in initiative
Feint,pretended attack; a move intended to deceive
Foppish,behaving or dressing like a dandy; excessively concerned with fashion
Froward,stubborn; wayward; disobedient
Gaffe,blunder; social mistake
Glib,slick; superficial esp. in speech
Halcyon,peaceful and happy; calm (esp. of summer weather)
Hortatory,encouraging; exhorting
Idyll,story or incident in peaceful or ideal setting [idyllic (a)]
Imperturbability,quality of being calm and not easily disturbed [imperturbable (a)]
Impugned,challenged; called into question
Inchoate,undeveloped; nascent
Incise,cut into [incision (n); incisive (a)]
Iniquitous,evil; unjust [iniquity (n)]
Interregnum,interval between reigns or governments
Inured,hardened; habituated
Inveigle,coax; cajole; wheedle; entice
Libertine,dissolute person; prodigal
List (v),1. to lean to one side; 2. to write in order
Maudlin,sad; sentimental; inclined to weep
Meretricious,falsely attractive; tawdry
Mettlesome,spirited [mettle (n)]
Millinery,hats and hat-making
Minatory,threatening
Moralistic,concerned with morals [moralize (v)]
Natty,neat; dapper; smart
Nugatory,of minor significance; futile
Occluded,obscured; blocked
Opprobrious,expressing great scorn [opprobrium (n)]
Ossified,turned to bone; become rigid [ossification (n)]
Ostracism,shunning; social isolation [ostracize (v)]
Penchant,inclination; leaning; tendency; predilection
Plumb,measure depth of (v); exact (a. slang)
Probity,uprightness; honesty
Puissance,power
Quintessential,most typical; the perfect example of [quintessence (n)]
Raconteur,person who relates a story
Rarefy,make less dense [rarefaction (n)]
Recondite,obscure
Recumbent,reclining; lying down
Refulgent,glowing; radiant
Repine,fret; be discontented
Runic,mysterious; magical
Sidereal,of or related to stars
Sinecure,job which pays salary but requiring little effort
Solicitous,kindly; expressing care and concern
Stipulate,specify [stipulation (n)]
Stygian,very dark
Subliminal,below the threshold of consciousness
