Abscission,cutting; process causing leaves to fall off
Abysmal,very deep; very bad
Acolyte,disciple; follower or attendant
Admonitory,scolding [admonition (n)]
Approbation,approval [opp. disapprobation]
Arboreal,living in trees; concerned with trees
Artless,without effort; without trickery; simple
Asperity,using harsh or critical tone
Atonement,making amends for sin or crime [atone (v)]
Bent (n),inclination; aptitude
Blowhard,boastful person
Cadge,get by begging
Caprices,whimsies; fancies
Centrifuge,device to separate substances by spinning them at high speed
Cloistered,isolated
Comeliness,beauty; prettiness [comely (a)]
Complaisance,flexibility; willingness to please [complaisant (a)]		
Contentious,causing argument [contention (n); contend (v)]
Cornucopia,symbol (horn filled with fruit etc.) denoting natural abundance
Corroborate,give supporting evidence [corroboration (n)]
Coterie,clique; small group with common interests
Daguerreotype,forerunner of the photograph
Debacle,disaster		
Debilitating,weakening [debilitate (v)]
Deferential,showing respect [deference (n); defer (v)]
Denigrate,decry; criticize; belittle
Disabuse,make someone aware of an error in thinking
Disingenuous,crafty
Doff,take off (esp. of a hat)
Don,put on (esp. of clothes)
Empirical,found by experiment or practice
Engendering,causing; bringing into being [engender (v)]
Erudition,learning; scholarly knowledge [erudite (a)]
Evanescent,short-lived [evanescence (n)]
Exacerbated,made worse [exacerbate (v); exacerbation (n)]
Exact (v),to demand; extort	
Extemporize,speak without preparation or rehearsal [extemporaneous (a)]
Faddish,whimsical; following a fashion
Fawn,behave in a sycophantic way; grovel [fawning (a)]
Foible,quirk; minor weakness
Foreshadowed,indicated a future event [foreshadow (v)]
Gainsay,contradict
Gaucherie,awkwardness [gauche (a)]
Gregariousness,sociability; liking for crowds [gregarious (a)]
Hapless,unlucky
Heterodox,unorthodox
Hyperbole,exaggeration [hyperbolic (a)]
Importune,beg; solicit [importunate (a)]
Incumbents,occupiers of a job or position
Inscrutability,quality of being difficult to comprehend [inscrutable (a)]
Intangible,cannot be touched; abstract [intangibility (n)]		
Intemperate,excessive; immoderate [intemperance (n)]
Intractability,stubbornness; resistance [intractable (a)]
Labile,changing rapidly; unstable
Lambaste,attack verbally	
Limerick,short amusing poem
Lugubrious,sad; gloomy
Luminary,eminent person
Malapropism,use of similar sounding but incorrect word
Mannered,stylized; pretentious
Minion,underling; servant
Misconstrue,put a wrong interpretation on something
Modest,1. bashful; unpretentious; 2. not excessive
Nascent,emerging; newly formed
Noisome,disgusting
Nonplussed,confused
Paean,praise; tribute (esp. in song)
Pastiche,"work (usually artistic) which imitates, or is composed of parts taken from varied sources"
Pedagogy,science of education; teaching
Perennial,long-lasting
Pertain,be relevant to [pertinent (a)]
Plaintive,sad; mournful	
Pluck (n),courage
Posture (v),to put on an act
Prolixity,wordiness [prolix (a)]
Proximate,immediate; nearest
Pugnacious,"aggressive, ready to fight [pugnacity (n)]"
Rebus,puzzle in which pictures give clues
Rent,torn (past participle of the verb to rend)
Reproof,scolding; criticism [reprove (v)]
Satiate,satisfy; fill completely [satiable (a); satiation (n)]
Scurvy,1. disease due to lack of vitamin C; 2. contemptible; rascally
Sedulous,persevering; eager and thorough	
Sere,withered; old
Shard,fragment of pottery
Slake,quench; satisfy
Slew,glut; excess
Suborn,bribe
Syllogism,type of logical reasoning
Tendentious,dogmatic; biased
Toady,sycophant; flatterer
Torrid,hot and steamy
Tortuous,indirect; winding
Tutelary,serving as a guardian [tutelage (n)]
Undergird,support; strengthen
Veracious,true [veracity (n)]
Verbiage,excessive or meaningless wordiness
Vicissitude,unexpected change in fortune or circumstances
Vitiate,weaken; sap energy
Vulpine,"like a fox [compare with bovine (cow-like); porcine (pig-like), etc.]"
Xenophobe,person afraid of foreigners
