Aberration,deviation from the normal
Alleviated,made less severe [alleviation (n); alleviate (v)]
Analogue,1. something similar; 2. output proportional to input (engineering)
Apostrophe,1. punctuation mark; 2. appeal to someone not present (a figure of speech)
Apprehension,slight fear; sense of something unfavorable
Arbitrator,mediator; person appointed to judge a dispute [arbitrate (v)]
Armada,fleet of ships
Atavism,reappearance of ancestral traits; regression [atavistic (a)]
Cant,insincere talk
Centurion,roman soldier (commander of a company of 100 soldiers)
Coda,piece of music at the end of a musical work; finale; final part of document
Commingle,mix
Conniving,cunning; scheming [connive (v)]
Dawdler,slow person who falls behind others [dawdle (v)]
Demur,object; hesitate to accept
Derision,mockery [deride (v)]
Descry,to see (esp. at a distance); catch sight of
Dilettantism,dabbling esp. in the arts [dilettante (n) = person who dabbles]
Disinter,dig up [opposite  inter = bury]
Dross,something worthless; impurities left after refining
Duplicity,cunning; deception; double dealing	
Emollient,softening (a); something which softens (n)
Enervate,weaken
Epigram,"short, witty saying"
Equivocal,"ambiguous; open to interpretation [equivocate (v), equivocation (n)]"
Exigency,urgent matter; pressing need
Expiate,atone; make amends for
Expostulate,offer strong objections; remonstrate
Facetious,not intended to be taken seriously
Fallible,capable of making mistakes [fallibility (n)]
