Abeyance,state of inactivity; disuse
Abrasion,1. damage to skin caused by scraping; 2. process of scraping or rubbing [abrade (v)]
Abut,to adjoin
Adumbrate,outline; indicate
Allure,1. attraction (n); 2. to attract (v)
Antipathy,hatred
Arduous,hard
Arson,"deliberate, criminal starting of fires"
Assay,1. try; 2. assess purity
Aver,affirm
Carrion,dead flesh; carcasses
Caulk,treat with substance such as tar to make water-tight
Chauvinist,someone excessively patriotic [chauvinism (n)]
Cloture,closure; terminating a debate by voting	
Cognitive,concerned with thinking or perceiving [cognition (n)]
Condescension,talking down to someone [condescending (a)]
Congruent,matching [congruency (n)]
Conscript,1. person enlisted compulsorily into the armed forces; 2. (v) to enlist compulsorily
Consternation,worry and concern
Dally,waste time; flirt
Decimated,kill or destroy a large part of (originally one tenth)
Deign,condescend
Desultory,aimless; inconsistent in effort
