Anecdote,a brief amusing story
Animosity,hatred; antagonism
Annex (n),a building which is an addition to an existing building
Annex (v),take possession of; seize; capture
Anomaly,something which does not fit in a pattern; irregularity
Antagonism,hostility; strong opposition
Antagonistic,opposed; hostile; aggressive
Antediluvian,outdated; prehistoric; very old-fashioned
Anthology,a book which is a collection of poems or stories
Anthropocentrism,putting man at the center of one's philosophy
Celerity,speed
Censorious,disapproving; critical
Censure,blame
Cerebral,intellectual
Certitude,certainty
Charlatan,trickster who claims knowledge he doesn't have
Chary,wary of; cautious about; reluctant to give
Chastises,punishes
Chicanery,trickery
Chimerical,changeable; unstable
Dexterous,skilful with hands
Dichotomy,a division into two parts
Didactic,intended to teach; instructive
Diffident,lacking confidence
Digress,wander off the subject
Dike,dam; embankment
Dilatory,slow; falling behind with one's work
Dilemma,puzzling situation
Dilettante,person who dabbles in a subject without serious study
Diligent,hard-working
Extraneous,irrelevant
Extrapolate,extend; predict on the basis of known data
Extrinsic,irrelevant; on the outside
Fallacious,false
Falter,hesitate; waver
Fanatical,obsessive; fixated
Fanaticism,passion; excessive devotion
Fastidious,overly particular; finicky
Fatuous,silly; foolish
Feasible,possible and practicable
Incoherent,not clear
Incongruous,not fitting in; out of place
Inconsequential,unimportant; insignificant; negligible
Inconspicuous,not easily seen; subtle; not noticeable
Indelible,cannot be wiped out
Indifferent,1. neutral;  2. not outstanding
Indigenous,native to a particular area
Indolence,laziness
Inductee,novice; beginner
Indulgent,pampering; satisfying desires
Maladroit,clumsy; unskillful
Malady,illness
Malediction,a curse
Malefactor,a wrong-doer
Malinger,deliberately avoid work; shirk
Malingerer,person who deliberately tries to avoid work
Malleable,flexible; can be shaped
Mallet,1. wooden hammer; 2. stick used for polo
Manipulatable,influencable; controllable
Marred,damaged; spoiled
Pallid,pale
Palpable,easily felt; easily perceived
Panacea,remedy for all ills
Paradigm,1. example; 2. model; 3. way of looking at things
Paradox,apparently contradictory statement
Paragon,a perfect example
Paramount,of supreme importance
Parasite,1. scrounger; 2. animal which takes digested food from another
Parched,dried up
Pariah,an outcast from society
Presumptuous,assuming too much; arrogant
Pretentious,pompous; self-important
Prevaricate,speak misleadingly and evasively
Pristine,unspoiled
Proclivity,tendency towards
Procrastinate,delay; put off
Prodigal,wasteful; extravagant
Prodigious,very large
Profane,unholy
Profanity,swearing; cursing
Scrupulous,careful; diligent; painstaking
Scrutinize,examine carefully
Scuttle,sink
Seminary,an institution in which priests are trained
Sensuous,appealing to the senses
Sentinel,guard; sentry
Sequester,isolate
Serendipity,fortunate coincidence; unsought discovery
Serene,calm; peaceful
Serrated,jagged; saw-like
Unequivocal,clear; obvious
Unfetter,set free
Unfrock,to remove a priest from his position
Unprecedented,never having happened before
Unscathed,unharmed; intact; without a scratch
Unwitting,not deliberate; unconscious
Upbraid,scold; tell off; reprimand
Uproarious,hilarious; hysterical; very funny
Upshot,outcome
Urbane,sophisticated; suave
